id,poland,longitude,latitude,optional
326,P1505,25.79803911,49.01708989,TRUE
327,P1505,25.79803911,49.01708989,TRUE
328,P1505,25.79803911,49.01708989,TRUE
329,P1505,25.79803911,49.01708989,TRUE
330,P1505,25.79803911,49.01708989,TRUE
331,P1505,25.79803911,49.01708989,TRUE
553,P1505,25.74374915,48.94247989,TRUE
600,P1505,25.67305521,48.88361089,TRUE
1320,P1505,25.78332912,49.04999989,TRUE
1321,P1505,25.78332912,49.04999989,TRUE
1667,P1505,25.76666613,49.00527789,TRUE
1835,P1505,25.94833199,48.91666688,TRUE
1836,P1505,25.94833199,48.91666688,TRUE
1837,P1505,25.94833199,48.91666688,TRUE
1838,P1505,25.94833199,48.91666688,TRUE
1839,P1505,25.94833199,48.91666688,TRUE
1840,P1505,25.94833199,48.91666688,TRUE
1841,P1505,25.94833199,48.91666688,TRUE
1842,P1505,25.94833199,48.91666688,TRUE
192,P1504,25.38797938,49.06253991,TRUE
193,P1504,25.38797938,49.06253991,TRUE
194,P1504,25.38797938,49.06253991,TRUE
195,P1504,25.38797938,49.06253991,TRUE
271,P1504,25.40249937,49.08111091,TRUE
591,P1504,25.44373935,48.9618399,TRUE
1300,P1504,25.17326949,49.08908992,TRUE
1301,P1504,25.17326949,49.08908992,TRUE
1302,P1504,25.17326949,49.08908992,TRUE
1303,P1504,25.17326949,49.08908992,TRUE
1304,P1504,25.17326949,49.08908992,TRUE
1305,P1504,25.17326949,49.08908992,TRUE
1523,P1504,24.99666656,49.07416692,TRUE
1614,P1504,25.19999948,48.98332991,TRUE
1615,P1504,25.19999948,48.98332991,TRUE
174,P1503,24.93332958,49.44999992,TRUE
175,P1503,24.93332958,49.44999992,TRUE
176,P1503,24.93332958,49.44999992,TRUE
177,P1503,24.93332958,49.44999992,TRUE
178,P1503,24.93332958,49.44999992,TRUE
179,P1503,24.93332958,49.44999992,TRUE
180,P1503,24.93332958,49.44999992,TRUE
181,P1503,24.93332958,49.44999992,TRUE
182,P1503,24.93332958,49.44999992,TRUE
491,P1503,24.82361062,49.61805593,TRUE
953,P1503,25.01043955,49.50509992,TRUE
2979,P1503,24.90638859,49.56388893,TRUE
139,P1502,25.14999947,50.07583291,TRUE
140,P1502,25.14999947,50.07583291,TRUE
141,P1502,25.14999947,50.07583291,TRUE
153,P1502,25.15026947,50.08790991,TRUE
154,P1502,25.15026947,50.08790991,TRUE
155,P1502,25.15026947,50.08790991,TRUE
156,P1502,25.15026947,50.08790991,TRUE
157,P1502,25.15026947,50.08790991,TRUE
558,P1502,25.33749938,49.91666691,TRUE
726,P1502,25.31666639,49.93916691,TRUE
1914,P1502,25.0934095,50.08018992,TRUE
2956,P1502,25.31666639,49.93333291,TRUE
8,P1501,25.99194296,48.85388888,TRUE
9,P1501,25.99194296,48.85388888,TRUE
10,P1501,25.99194296,48.85388888,TRUE
11,P1501,25.99194296,48.85388888,TRUE
12,P1501,25.99194296,48.85388888,TRUE
78,P1501,25.87547906,48.77606988,TRUE
114,P1501,26.04999891,48.79999987,TRUE
115,P1501,26.04999891,48.79999987,TRUE
458,P1501,26.18028879,48.69374987,TRUE
966,P1501,26.10583218,48.84138887,TRUE
1315,P1501,26.04999891,48.80916654,TRUE
1316,P1501,26.04999891,48.80916654,TRUE
1387,P1501,25.99110996,48.7472221,TRUE
1760,P1501,26.19908876,48.85148987,TRUE
1761,P1501,26.19908876,48.85148987,TRUE
1933,P1501,25.8222091,48.82924989,TRUE
560,P1411,25.98333183,51.32472187,TRUE
1681,P1411,25.80128899,51.49214988,TRUE
1855,P1411,26.59999805,51.40083284,TRUE
