city,longitude,latitude,count,scale
Ozorków,19.29139,51.96336,1,1
Pabianice,19.35473,51.66446,1,1
Parysowo,21.680556,51.975,1,1
Parzeczew,19.205556,51.940556,1,1
Piaski,22.844722,51.134167,1,1
Pidhajtsi,25.134167,49.275,1,1
Pilica,19.65729,50.46799,1,1
Pilzno,21.291389,49.978611,1,1
Pleszew,17.78549,51.89636,1,1
Plonsk,20.37552,52.62348,1,1
Pniewy,16.25668,52.50943,1,1
Pobiedziska,17.279444,52.48,1,1
Poddebice,18.9573,51.89344,1,1
Pogorzela,17.23017,51.8222,1,1
Polaniec,21.2812,50.43324,1,1
Praszka,18.45317,51.05375,1,1
Probizhna,25.98127,49.02174,1,1
Pruszków,20.81214,52.17072,1,1
Przasnysz,20.88029,53.01907,1,1
Przedbórz,19.87384,51.08789,1,1
Przeworsk,22.49408,50.05912,1,1
Przyrów,19.52794,50.80051,1,1
Przysucha,20.62889,51.35858,1,1
Pulawy,21.96939,51.41655,1,1
Pultusk,21.08276,52.7025,1,1
Punsk,23.177778,54.250833,1,1
Pyzdry,17.69005,52.17056,1,1
Raciaz,20.08986,52.81552,1,1
Radekhiv,24.08366,51.16085,1,1
Radlów,20.842069,50.08544,1,1
Radom,21.14714,51.40253,1,1
RadomyslWielki,21.27693,50.19693,1,1
Radymno,22.82375,49.9472,1,1
Radzilów,22.40988,53.40994,1,1
RadzynChelminski,18.93725,53.38509,1,1
RadzynPodlaski,22.61667,51.78333,1,1
Raków,21.04517,50.67427,1,1
Ranizów,21.97137,50.25873,1,1
Raszków,19.94534,50.58496,1,1
Rawicz,16.85852,51.60946,1,1
Rejowiec,23.28192,51.09134,1,1
Rogozno,16.999722,52.749167,1,1
Rózana,23.3226,51.00123,1,1
Rozdil,24.0623,49.46144,1,1
Rozprza,19.6457,51.30266,1,1
RudaSlaska,18.853611,50.262778,1,1
Rudky,23.48702,49.65306,1,1
Ruzhyn,24.54784,51.15745,1,1
Rybotycze,22.6461,49.65571,1,1
Ryczywól,16.83114,52.81324,1,1
Rydzyna,16.666944,51.786944,1,1
Ryglice,21.1416,49.8775,1,1
Ryki,21.93274,51.62574,1,1
Rypin,19.40941,53.06603,1,1
Sandomierz,21.74898,50.68265,1,1
SepólnoKrajenskie,17.53169,53.45198,1,1
Siemiatycze,22.86231,52.42719,1,1
